Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-09,0,Bundesgebiet,26660652,139623,77636,90,230223,276.85997735963804
2022-06-09,1,Schleswig-Holstein,756739,2558,5198,8,13386,459.8617254262034
2022-06-09,2,Hamburg,592178,2674,651,0,4920,265.59019864203515
2022-06-09,3,Niedersachsen,2411560,9410,11059,12,29767,371.9284540948177
2022-06-09,4,Bremen,203558,780,727,0,2055,302.1481187420052
2022-06-09,5,Nordrhein-Westfalen,5364403,25498,19600,16,57818,322.54483399969985
2022-06-09,6,Hessen,1894082,10211,8174,6,24843,394.76230837510093
2022-06-09,7,Rheinland-Pfalz,1168552,5696,3966,2,10918,266.3972275949269
2022-06-09,8,Baden-Württemberg,3706282,16171,7632,8,23473,211.41051151472618
2022-06-09,9,Bayern,4946005,24144,10962,12,36191,275.4223438136288
2022-06-09,10,Saarland,319081,1701,870,2,2826,287.1977487598972
2022-06-09,11,Berlin,1059374,4624,1909,3,6680,182.31003185513012
2022-06-09,12,Brandenburg,795790,5683,1459,1,3860,152.50461168414478
2022-06-09,13,Mecklenburg-Vorpommern,491972,2239,1561,3,3390,210.45782958999834
2022-06-09,14,Sachsen,1517385,15557,2186,5,5355,131.9960038856863
2022-06-09,15,Sachsen-Anhalt,721085,5369,1098,4,2996,137.38808557315045
2022-06-09,16,Thüringen,712606,7308,584,8,1745,82.3021199988492
